Xbrew,Ybrew,Xbrewnew,,,,
245,60,192,,,,
245,59,192,,,,
245,57,192,,,,
245,56,192,,,,
245,50,192,,,,
245,49,192,,,,
249,64,196,,,,
249,63,196,,,,
249,60,196,,,,
249,59,196,,,,
249,57,196,,,,
249,56,196,,,,
249,53,196,,,,
249,52,196,,,,
249,50,196,,,,
249,49,196,,,,
250,64,197,,,,
250,63,197,,,,
250,60,197,,,,
250,59,197,,,,
250,57,197,,,,
250,56,197,,,,
250,53,197,,,,
250,52,197,,,,
250,50,197,,,,
250,49,197,,,,
251,63,198,,,,
251,62,198,,,,
251,61,198,,,,
251,60,198,,,,
251,56,198,,,,
251,55,198,,,,
251,54,198,,,,
251,53,198,,,,
251,49,198,,,,
251,48,198,,,,
252,62,199,,,,
252,61,199,,,,
252,55,199,,,,
252,54,199,,,,
252,48,199,,,,
252,47,199,,,,
253,63,200,,,,
253,62,200,,,,
253,61,200,,,,
253,60,200,,,,
253,56,200,,,,
253,55,200,,,,
253,54,200,,,,
253,53,200,,,,
253,49,200,,,,
253,48,200,,,,
253,47,200,,,,
253,46,200,,,,
254,64,201,,,,
254,63,201,,,,
254,60,201,,,,
254,59,201,,,,
254,57,201,,,,
254,56,201,,,,
254,53,201,,,,
254,52,201,,,,
254,50,201,,,,
254,49,201,,,,
254,46,201,,,,
254,45,201,,,,
255,64,202,,,,
255,63,202,,,,
255,60,202,,,,
255,59,202,,,,
255,57,202,,,,
255,56,202,,,,
255,53,202,,,,
255,52,202,,,,
255,50,202,,,,
255,49,202,,,,
255,46,202,,,,
255,45,202,,,,
257,50,204,,,,
257,49,204,,,,
258,50,205,,,,
258,49,205,,,,
259,51,206,,,,
259,50,206,,,,
260,52,207,,,,
260,51,207,,,,
261,51,208,,,,
261,50,208,,,,
262,50,209,,,,
262,49,209,,,,
263,50,210,,,,
263,49,210,,,,
265,64,212,,,,
265,63,212,,,,
265,60,212,,,,
265,59,212,,,,
265,57,212,,,,
265,56,212,,,,
265,53,212,,,,
265,52,212,,,,
265,50,212,,,,
265,49,212,,,,
265,46,212,,,,
265,45,212,,,,
266,64,213,,,,
266,63,213,,,,
266,60,213,,,,
266,59,213,,,,
266,57,213,,,,
266,56,213,,,,
266,53,213,,,,
